Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,W,777,0,ZR,35009,5000
W0400,EQP,Interface Clock,Binary,,EQ,Interface_Clock,1,,,,,,,,W,1024,0,ZR,35167,5000
W0401,EQP,,,,,,2,,,,,,,,W,1025,0,ZR,35167,5000
W0402,EQP,,,,,,3,,,,,,,,W,1026,0,ZR,35167,5000
W0403,EQP,,,,,,,,,,,,,,W,1027,0,ZR,35167,5000
W0404,EQP,,,,,,,,,,,,,,W,1028,0,ZR,35167,5000
W0405,EQP,,,,,,,,,,,,,,W,1029,0,ZR,35167,5000
W0406,EQP,,,,,,,,,,,,,,W,1030,0,ZR,35167,5000
W0407,EQP,,,,,,,,,,,,,,W,1031,0,ZR,35167,5000
W0408,EQP,,,,,,,,,,,,,,W,1032,0,ZR,35167,5000
W0409,EQP,,,,,,,,,,,,,,W,1033,0,ZR,35167,5000
W040A,EQP,,,,,,,,,,,,,,W,1034,0,ZR,35167,5000
W040B,EQP,Warning Report Index,Binary,,EQ,Warning_Report_Index,43,,,,,,,,W,1035,0,ZR,35167,5000
W040C,EQP,Warning Code (1-16),Binary,,EQ,Warning_Code_1_16,44,,,,,,,,W,1036,0,ZR,35167,5000
W040D,EQP,Warning Code (17-32),Binary,,EQ,Warning_Code_17_32,45,,,,,,,,W,1037,0,ZR,35167,5000
W040E,EQP,Warning Code (33-48),Binary,,EQ,Warning_Code_33_48,46,,,,,,,,W,1038,0,ZR,35167,5000
W040F,EQP,,,,,,47,,,,,,,,W,1039,0,ZR,35167,5000
W0410,EQP,,,,,,48,,,,,,,,W,1040,0,ZR,35167,5000
W0411,EQP,,,,,,49,,,,,,,,W,1041,0,ZR,35167,5000
W0412,EQP,Alarm Report Index,Binary,,EQ,Alarm_Report_Index,50,,,,,,,,W,1042,0,ZR,35167,5000
W0413,EQP,Alarm Code (1-16),Binary,,EQ,Alarm_Code_1_16,51,,,,,,,,W,1043,0,ZR,35167,5000
W0414,EQP,Alarm Code (17-32),Binary,,EQ,Alarm_Code_17_32,52,,,,,,,,W,1044,0,ZR,35167,5000
W0415,EQP,Alarm Code (33-48),Binary,,EQ,Alarm_Code_33_48,53,,,,,,,,W,1045,0,ZR,35167,5000
W0416,EQP,,,,,,,,,,,,,,W,1046,0,ZR,35167,5000
W0417,EQP,EQP ON/OFFLine Mode Status ,Binary,,EQ,EQP_ON_OFFLine_Mode_Status,4,,,,,,,,W,1047,0,ZR,35167,5000
W0418,EQP,,,,,,5,,,,,,,,W,1048,0,ZR,35167,5000
W0419,EQP,Port Type Status ,Binary,,PORT1,Port_Type_Status,6,,,,,,,,W,1049,0,ZR,35167,5000
W041A,EQP,Port Auto/Manual Mode Status ,Binary,,PORT1,Port_Auto_Manual_Mode_Status,7,,,,,,,,W,1050,0,ZR,35167,5000
W041B,EQP,,,,,,8,,,,,,,,W,1051,0,ZR,35167,5000
W041C,EQP,WIP Information-BCR ID#1,ASCII,,PORT1,WIP_Information_BCR_1,9,,,,,,,,W,1052,0,ZR,35167,5000
W041D,EQP,WIP Information-BCR ID#2,ASCII,,PORT1,WIP_Information_BCR_2,10,,,,,,,,W,1053,0,ZR,35167,5000
W041E,EQP,WIP Information-BCR ID#3,ASCII,,PORT1,WIP_Information_BCR_3,11,,,,,,,,W,1054,0,ZR,35167,5000
W041F,EQP,WIP Information-BCR ID#4,ASCII,,PORT1,WIP_Information_BCR_4,12,,,,,,,,W,1055,0,ZR,35167,5000
W0420,EQP,WIP Information-BCR ID#5,ASCII,,PORT1,WIP_Information_BCR_5,13,,,,,,,,W,1056,0,ZR,35167,5000
W0421,EQP,WIP Information-BCR ID#6,ASCII,,PORT1,WIP_Information_BCR_6,14,,,,,,,,W,1057,0,ZR,35167,5000
W0422,EQP,WIP Information-BCR ID#7,ASCII,,PORT1,WIP_Information_BCR_7,15,,,,,,,,W,1058,0,ZR,35167,5000
W0423,EQP,WIP Information-BCR ID#8,ASCII,,PORT1,WIP_Information_BCR_8,16,,,,,,,,W,1059,0,ZR,35167,5000
W0424,EQP,WIP Information-BCR ID#9,ASCII,,PORT1,WIP_Information_BCR_9,17,,,,,,,,W,1060,0,ZR,35167,5000
W0425,EQP,WIP Information-BCR ID#10,ASCII,,PORT1,WIP_Information_BCR_10,18,,,,,,,,W,1061,0,ZR,35167,5000
W0426,EQP,,,,,,19,,,,,,,,W,1062,0,ZR,35167,5000
W0427,EQP,,,,,,20,,,,,,,,W,1063,0,ZR,35167,5000
W0428,EQP,,,,,,21,,,,,,,,W,1064,0,ZR,35167,5000
W0429,EQP,Port Type Status,Binary,,PORT2,Port_Type_Status,22,,,,,,,,W,1065,0,ZR,35167,5000
W042A,EQP,Port Auto/Manual Mode Status ,Binary,,PORT2,Port_Auto_Manual_Mode_Status,23,,,,,,,,W,1066,0,ZR,35167,5000
W042B,EQP,,,,,,24,,,,,,,,W,1067,0,ZR,35167,5000
W042C,EQP,WIP Information-BCR ID#1,ASCII,,PORT2,WIP_Information_BCR_1,25,,,,,,,,W,1068,0,ZR,35167,5000
W042D,EQP,WIP Information-BCR ID#2,ASCII,,PORT2,WIP_Information_BCR_2,26,,,,,,,,W,1069,0,ZR,35167,5000
W042E,EQP,WIP Information-BCR ID#3,ASCII,,PORT2,WIP_Information_BCR_3,27,,,,,,,,W,1070,0,ZR,35167,5000
W042F,EQP,WIP Information-BCR ID#4,ASCII,,PORT2,WIP_Information_BCR_4,28,,,,,,,,W,1071,0,ZR,35167,5000
W0430,EQP,WIP Information-BCR ID#5,ASCII,,PORT2,WIP_Information_BCR_5,29,,,,,,,,W,1072,0,ZR,35167,5000
W0431,EQP,WIP Information-BCR ID#6,ASCII,,PORT2,WIP_Information_BCR_6,30,,,,,,,,W,1073,0,ZR,35167,5000
W0432,EQP,WIP Information-BCR ID#7,ASCII,,PORT2,WIP_Information_BCR_7,31,,,,,,,,W,1074,0,ZR,35167,5000
W0433,EQP,WIP Information-BCR ID#8,ASCII,,PORT2,WIP_Information_BCR_8,32,,,,,,,,W,1075,0,ZR,35167,5000
W0434,EQP,WIP Information-BCR ID#9,ASCII,,PORT2,WIP_Information_BCR_9,33,,,,,,,,W,1076,0,ZR,35167,5000
W0435,EQP,WIP Information-BCR ID#10,ASCII,,PORT2,WIP_Information_BCR_10,34,,,,,,,,W,1077,0,ZR,35167,5000
W0436,EQP,,,,,,35,,,,,,,,W,1078,0,ZR,35167,5000
W0437,EQP,,,,,,36,,,,,,,,W,1079,0,ZR,35167,5000
W0438,EQP,,,,,,37,,,,,,,,W,1080,0,ZR,35167,5000
W0439,EQP,,,,,,38,,,,,,,,W,1081,0,ZR,35167,5000
W043A,EQP,,,,,,39,,,,,,,,W,1082,0,ZR,35167,5000
W043B,EQP,,,,,,40,,,,,,,,W,1083,0,ZR,35167,5000
W043C,EQP,,,,,,41,,,,,,,,W,1084,0,ZR,35167,5000
W043D,EQP,,,,,,42,,,,,,,,W,1085,0,ZR,35167,5000
W043E,EQP,,,,,,,,,,,,,,W,1086,0,ZR,35167,5000
W043F,EQP,,,,,,,,,,,,,,W,1087,0,ZR,35167,5000
W0440,EQP,,,,,,,,,,,,,,W,1088,0,ZR,35167,5000
W0441,EQP,,,,,,,,,,,,,,W,1089,0,ZR,35167,5000
W0442,EQP,,,,,,,,,,,,,,W,1090,0,ZR,35167,5000
W0443,EQP,,,,,,,,,,,,,,W,1091,0,ZR,35167,5000
W0444,EQP,,,,,,,,,,,,,,W,1092,0,ZR,35167,5000
W0445,EQP,,,,,,,,,,,,,,W,1093,0,ZR,35167,5000
W0446,EQP,,,,,,,,,,,,,,W,1094,0,ZR,35167,5000
W0447,EQP,,,,,,,,,,,,,,W,1095,0,ZR,35167,5000
W0448,EQP,,,,,,,,,,,,,,W,1096,0,ZR,35167,5000
W0449,EQP,,,,,,,,,,,,,,W,1097,0,ZR,35167,5000
W044A,EQP,,,,,,,,,,,,,,W,1098,0,ZR,35167,5000
W044B,EQP,,,,,,,,,,,,,,W,1099,0,ZR,35167,5000
W044C,EQP,,,,,,,,,,,,,,W,1100,0,ZR,35167,5000
W044D,EQP,,,,,,,,,,,,,,W,1101,0,ZR,35167,5000
W044E,EQP,,,,,,,,,,,,,,W,1102,0,ZR,35167,5000
W044F,EQP,,,,,,,,,,,,,,W,1103,0,ZR,35167,5000
W0450,EQP,,,,,,,,,,,,,,W,1104,0,ZR,35167,5000
W0451,EQP,,,,,,,,,,,,,,W,1105,0,ZR,35167,5000
W0452,EQP,,,,,,,,,,,,,,W,1106,0,ZR,35167,5000
W0453,EQP,,,,,,,,,,,,,,W,1107,0,ZR,35167,5000
W0454,EQP,,,,,,,,,,,,,,W,1108,0,ZR,35167,5000
W0455,EQP,,,,,,,,,,,,,,W,1109,0,ZR,35167,5000
W0456,EQP,,,,,,,,,,,,,,W,1110,0,ZR,35167,5000
W0457,EQP,,,,,,,,,,,,,,W,1111,0,ZR,35167,5000
W0458,EQP,,,,,,,,,,,,,,W,1112,0,ZR,35167,5000
W0459,EQP,,,,,,,,,,,,,,W,1113,0,ZR,35167,5000
W045A,EQP,,,,,,,,,,,,,,W,1114,0,ZR,35167,5000
W045B,EQP,,,,,,,,,,,,,,W,1115,0,ZR,35167,5000
W045C,EQP,,,,,,,,,,,,,,W,1116,0,ZR,35167,5000
W045D,EQP,,,,,,,,,,,,,,W,1117,0,ZR,35167,5000
W045E,EQP,,,,,,,,,,,,,,W,1118,0,ZR,35167,5000
W045F,EQP,,,,,,,,,,,,,,W,1119,0,ZR,35167,5000
W0460,EQP,,,,,,,,,,,,,,W,1120,0,ZR,35167,5000
W0461,EQP,,,,,,,,,,,,,,W,1121,0,ZR,35167,5000
W0462,EQP,,,,,,,,,,,,,,W,1122,0,ZR,35167,5000
W0463,EQP,,,,,,,,,,,,,,W,1123,0,ZR,35167,5000
W0464,EQP,,,,,,,,,,,,,,W,1124,0,ZR,35167,5000
W0465,EQP,,,,,,,,,,,,,,W,1125,0,ZR,35167,5000
W0466,EQP,,,,,,,,,,,,,,W,1126,0,ZR,35167,5000
W0467,EQP,,,,,,,,,,,,,,W,1127,0,ZR,35167,5000
W0468,EQP,,,,,,,,,,,,,,W,1128,0,ZR,35167,5000
W0469,EQP,,,,,,,,,,,,,,W,1129,0,ZR,35167,5000
W046A,EQP,,,,,,,,,,,,,,,,,,,
W046B,EQP,,,,,,,,,,,,,,,,,,,
W046C,EQP,,,,,,,,,,,,,,,,,,,
W046D,EQP,,,,,,,,,,,,,,,,,,,
W046E,EQP,,,,,,,,,,,,,,,,,,,
W046F,EQP,,,,,,,,,,,,,,,,,,,
W0470,EQP,,,,,,,,,,,,,,,,,,,
W0471,EQP,,,,,,,,,,,,,,,,,,,
W0472,EQP,,,,,,,,,,,,,,,,,,,
W0473,EQP,,,,,,,,,,,,,,,,,,,
W0474,EQP,,,,,,,,,,,,,,,,,,,
W0475,EQP,,,,,,,,,,,,,,,,,,,
W0476,EQP,,,,,,,,,,,,,,,,,,,
W0477,EQP,,,,,,,,,,,,,,,,,,,
W0478,EQP,,,,,,,,,,,,,,,,,,,
W0479,EQP,,,,,,,,,,,,,,,,,,,
W047A,EQP,,,,,,,,,,,,,,,,,,,
W047B,EQP,,,,,,,,,,,,,,,,,,,
W047C,EQP,,,,,,,,,,,,,,,,,,,
W047D,EQP,,,,,,,,,,,,,,,,,,,
W047E,EQP,,,,,,,,,,,,,,,,,,,
W047F,EQP,,,,,,,,,,,,,,,,,,,
W0480,EQP,,,,,,,,,,,,,,,,,,,
W0481,EQP,,,,,,,,,,,,,,,,,,,
W0482,EQP,,,,,,,,,,,,,,,,,,,
W0483,EQP,,,,,,,,,,,,,,,,,,,
W0484,EQP,,,,,,,,,,,,,,,,,,,
W0485,EQP,,,,,,,,,,,,,,,,,,,
W0486,EQP,,,,,,,,,,,,,,,,,,,
W0487,EQP,,,,,,,,,,,,,,,,,,,
W0488,EQP,,,,,,,,,,,,,,,,,,,
W0489,EQP,,,,,,,,,,,,,,,,,,,
W048A,EQP,,,,,,,,,,,,,,,,,,,
W048B,EQP,,,,,,,,,,,,,,,,,,,
W048C,EQP,,,,,,,,,,,,,,,,,,,
W048D,EQP,,,,,,,,,,,,,,,,,,,
W048E,EQP,,,,,,,,,,,,,,,,,,,
W048F,EQP,,,,,,,,,,,,,,,,,,,
W0490,EQP,,,,,,,,,,,,,,,,,,,
W0491,EQP,,,,,,,,,,,,,,,,,,,
W0492,EQP,,,,,,,,,,,,,,,,,,,
W0493,EQP,,,,,,,,,,,,,,,,,,,
W0494,EQP,,,,,,,,,,,,,,,,,,,
W0495,EQP,,,,,,,,,,,,,,,,,,,
W0496,EQP,,,,,,,,,,,,,,,,,,,
W0497,EQP,,,,,,,,,,,,,,,,,,,
W0498,EQP,,,,,,,,,,,,,,,,,,,
W0499,EQP,,,,,,,,,,,,,,,,,,,
W049A,EQP,,,,,,,,,,,,,,,,,,,
W049B,EQP,,,,,,,,,,,,,,,,,,,
W049C,EQP,,,,,,,,,,,,,,,,,,,
W049D,EQP,,,,,,,,,,,,,,,,,,,
W049E,EQP,,,,,,,,,,,,,,,,,,,
W049F,EQP,,,,,,,,,,,,,,,,,,,
W04A0,EQP,,,,,,,,,,,,,,,,,,,
W04A1,EQP,,,,,,,,,,,,,,,,,,,
W04A2,EQP,,,,,,,,,,,,,,,,,,,
W04A3,EQP,,,,,,,,,,,,,,,,,,,
W04A4,EQP,,,,,,,,,,,,,,,,,,,
W04A5,EQP,,,,,,,,,,,,,,,,,,,
W04A6,EQP,,,,,,,,,,,,,,,,,,,
W04A7,EQP,,,,,,,,,,,,,,,,,,,
W04A8,EQP,,,,,,,,,,,,,,,,,,,
W04A9,EQP,,,,,,,,,,,,,,,,,,,
W04AA,EQP,,,,,,,,,,,,,,,,,,,
W04AB,EQP,,,,,,,,,,,,,,,,,,,
W04AC,EQP,,,,,,,,,,,,,,,,,,,
W04AD,EQP,,,,,,,,,,,,,,,,,,,
W04AE,EQP,,,,,,,,,,,,,,,,,,,
W04AF,EQP,,,,,,,,,,,,,,,,,,,
W04B0,EQP,,,,,,,,,,,,,,,,,,,
